Train Epoch: 0 (epsilon = 0.1255, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1278, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1301, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1324, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1346, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1369, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1392, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1415, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1437, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1460, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1483, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1505, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1528, delta = 1e-05), clip value = 0.672307106 for alpha = 54.0
Train Epoch: 0 (epsilon = 0.1550, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1571, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1592, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1613, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1633, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1654, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1675, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1695, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1716, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1737, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1758, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1778, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1799, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1820, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1841, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1861, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1882, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1903, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
Train Epoch: 0 (epsilon = 0.1924, delta = 1e-05), clip value = 0.672307106 for alpha = 53.0
