
Train Epoch: 0 (epsilon = 0.1038, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1046, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1055, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1064, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1073, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1082, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1091, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1100, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1109, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1118, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1126, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1135, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1144, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1153, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1162, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1171, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1180, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1189, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1198, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1207, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1215, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1224, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1233, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1242, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1251, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1260, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1269, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1278, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1287, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1295, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1304, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1313, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1322, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1331, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1340, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1349, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1358, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1367, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1375, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1384, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1393, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1402, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1411, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1420, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1429, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1438, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1447, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1455, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1464, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1473, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1482, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1491, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1500, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1509, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1518, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1527, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1536, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1544, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Train Epoch: 0 (epsilon = 0.1553, delta = 1e-05), clip value = 1.35549955 for alpha = 63.0
Epoch 0 Test Accuracy: 0.7496
Train Epoch: 1 (epsilon = 0.1562, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1571, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1580, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1589, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1598, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1607, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1616, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1624, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1633, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1642, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1651, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1660, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1669, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1678, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1687, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1696, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1704, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1713, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1722, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1731, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1740, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1749, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1758, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1767, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1776, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1784, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1793, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1802, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1811, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1820, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1829, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1838, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1847, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1856, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1865, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1873, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1882, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1891, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1900, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.1909, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
