Train Epoch: 22 (epsilon = 0.7461, delta = 1e-05), clip value = 0.40480090466399976 for alpha = 22.0
Train Epoch: 22 (epsilon = 0.7464, delta = 1e-05), clip value = 0.40480090466399976 for alpha = 22.0
Train Epoch: 22 (epsilon = 0.7467, delta = 1e-05), clip value = 0.40480090466399976 for alpha = 22.0
Train Epoch: 22 (epsilon = 0.7470, delta = 1e-05), clip value = 0.40480090466399976 for alpha = 22.0
Train Epoch: 22 (epsilon = 0.7473, delta = 1e-05), clip value = 0.40480090466399976 for alpha = 22.0
Train Epoch: 22 (epsilon = 0.7476, delta = 1e-05), clip value = 0.40480090466399976 for alpha = 22.0
Epoch 22 Test Accuracy: 0.836
Train Epoch: 23 (epsilon = 0.7479, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7482, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7485, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7488, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7490, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7493, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7496, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7499, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7502, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7505, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7508, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7511, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7514, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7517, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7519, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7522, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7525, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7528, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7531, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7534, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7537, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7540, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7543, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7545, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7548, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7551, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7554, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7557, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7560, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7563, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7566, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7569, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7572, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7574, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7577, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7580, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7583, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7586, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7589, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7592, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7595, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7598, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7601, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7603, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7606, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7609, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7612, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
