Train Epoch: 0 (epsilon = 0.4018, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4067, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4115, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4164, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4212, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4261, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4309, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4358, delta = 1e-05), clip value = 1.86887335 for alpha = 20.0
Train Epoch: 0 (epsilon = 0.4385, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4404, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4422, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4441, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4459, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4477, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4496, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4514, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4533, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4551, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4569, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4588, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4606, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4625, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4643, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4662, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4680, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4698, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4717, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4735, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
Train Epoch: 0 (epsilon = 0.4754, delta = 1e-05), clip value = 1.86887335 for alpha = 19.0
