Train Epoch: 0 (epsilon = 1.1464, delta = 1e-05), clip value = 0.05 for alpha = 8.7
Train Epoch: 0 (epsilon = 1.1867, delta = 1e-05), clip value = 0.05 for alpha = 8.5
Train Epoch: 0 (epsilon = 1.2131, delta = 1e-05), clip value = 0.05 for alpha = 8.4
Train Epoch: 0 (epsilon = 1.2335, delta = 1e-05), clip value = 0.05 for alpha = 8.3
Train Epoch: 0 (epsilon = 1.2511, delta = 1e-05), clip value = 0.05 for alpha = 8.2
Train Epoch: 0 (epsilon = 1.2660, delta = 1e-05), clip value = 0.05 for alpha = 8.2
Train Epoch: 0 (epsilon = 1.2800, delta = 1e-05), clip value = 0.05 for alpha = 8.1
Train Epoch: 0 (epsilon = 1.2921, delta = 1e-05), clip value = 0.05 for alpha = 8.1
Train Epoch: 0 (epsilon = 1.3042, delta = 1e-05), clip value = 0.05 for alpha = 8.1
Train Epoch: 0 (epsilon = 1.3151, delta = 1e-05), clip value = 0.05 for alpha = 8.0
Train Epoch: 0 (epsilon = 1.3252, delta = 1e-05), clip value = 0.05 for alpha = 8.0
Train Epoch: 0 (epsilon = 1.3353, delta = 1e-05), clip value = 0.05 for alpha = 8.0
Train Epoch: 0 (epsilon = 1.3454, delta = 1e-05), clip value = 0.05 for alpha = 8.0
Train Epoch: 0 (epsilon = 1.3541, delta = 1e-05), clip value = 0.05 for alpha = 7.9
Train Epoch: 0 (epsilon = 1.3627, delta = 1e-05), clip value = 0.05 for alpha = 7.9
Train Epoch: 0 (epsilon = 1.3713, delta = 1e-05), clip value = 0.05 for alpha = 7.9
Train Epoch: 0 (epsilon = 1.3799, delta = 1e-05), clip value = 0.05 for alpha = 7.9
Train Epoch: 0 (epsilon = 1.3884, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.3959, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.4034, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.4108, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.4183, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.4258, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.4333, delta = 1e-05), clip value = 0.05 for alpha = 7.8
Train Epoch: 0 (epsilon = 1.4401, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4468, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4534, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4600, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4666, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4733, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4799, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4865, delta = 1e-05), clip value = 0.05 for alpha = 7.7
Train Epoch: 0 (epsilon = 1.4928, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.4987, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5047, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5106, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5166, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5226, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5285, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5345, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5405, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5464, delta = 1e-05), clip value = 0.05 for alpha = 7.6
Train Epoch: 0 (epsilon = 1.5522, delta = 1e-05), clip value = 0.05 for alpha = 7.5
Train Epoch: 0 (epsilon = 1.5576, delta = 1e-05), clip value = 0.05 for alpha = 7.5
Train Epoch: 0 (epsilon = 1.5630, delta = 1e-05), clip value = 0.05 for alpha = 7.5
